ano,nome_musica,artista,letra
2002,Die Another Day,Madonna,"I'm gonna wake up, yes and no
I'm gonna kiss some part of
I'm gonna keep this secret
I'm gonna close my body now
I guess, die another day
I guess, die another day
I guess, die another day
I guess, die another day
I guess I'll die another day (another day)
I guess I'll die another day (another day)
I guess I'll die another day (another day)
I guess I'll die another day
Sigmund Freud
Analyze this, analyze this
Analyze this, this, this, this, this
I'm gonna break the cycle
I'm gonna shake up the system
I'm gonna destroy my ego
I'm gonna close my body now
Uh
Uh
I think I'll find another way
There's so much more to know
I guess I'll die another day
It's not my time to go
For every sin, I'll have to pay
A time to work, a time to play
I think I'll find another way
It's not my time to go
I'm gonna avoid the cliché
I'm gonna suspend my senses
I'm gonna delay my pleasure
I'm gonna close my body now
I guess, die another day
I guess I'll die another day
I guess, die another day
I guess I'll die another day
I think I'll find another way
There's so much more to know
I guess I'll die another day
It's not my time to go
Uh
Uh
Hahahaha
I need to lay down
I guess, die another day
I guess I'll die another day
I guess, die another day
I guess I'll die another day
Another day
Another day
Another day
Another day
Another day
Another day
Another day"
2008,Você Me Ensinou Amor,Nathália Siqueira,"Era tão perfeito, era como um sonho bom
Tudo o que um dia eu desejei
Nosso amor era tão lindo, poesia em uma canção
O mundo era só eu e você
Mas tudo mudou
Você se foi
Não sei o que fazer
Pra continuar a viver
Você me ensinou o amor
Você me ensinou paixão
Tocou tão fundo minha alma
Mas machucou meu coração
Não sei se um dia vou amar alguém
Como amei você
Tudo de bom que eu aprendi
Hoje só me faz sofrer
Outro dia outro amanhecer, outra chance pra curar a dor
Quem sabe aprendo a te esquecer?
Quantas lágrimas que eu chorei, e as noites que eu nem dormi
Esperando só você voltar pra mim
Você me ensinou o amor
Você me ensinou paixão
Tocou tão fundo minha alma
Mas machucou meu coração
Não sei se um dia vou amar alguém
Como amei você
Tudo de bom que eu aprendi
Hoje só me faz sofrer
Mas tudo mudou
Você se foi
Não sei o que fazer
A dor é uma lição
Que eu nunca quis aprender
Mas no fundo do meu peito
Ainda preciso de você
Você me ensinou o amor
Você me ensinou paixão
Tocou tão fundo minha alma
Mas machucou meu coração
Não sei se um dia vou amar alguém
Como amei você
Tudo de bom que eu aprendi
Hoje só me faz sofrer
Só me faz sofrer"
1992,Hold On My Heart,Genesis,"Hold on my heart
Just hold on to that feeling
We both know we've been here before
We both know what can happen
Hold on my heart
'Cause I'm looking over your shoulder
Ooh please don't rush in this time
Don't show her how you feel
Hold on my heart
Throw me a lifeline
I'll keep a place for you
Somewhere deep inside
So hold on my heart
Please tell her to be patient
'Cause there has never been a time
That I wanted something more
If I can recall this feeling
And I know there's a chance
Oh I will be there
Yes I will be there
Be there for you
Whenever you want me to
Whenever you call
Oh I will be there
Yes I will be there
Hold on my heart
Don't let her see you crying
No matter where I go
She'll always be with me
So hold on my heart
Just hold on to that feeling
We both know we've been here before
We both know what can happen
So hold on my heart
Just hold on my heart
Hold on my heart"
1971,Festa Para Um Rei Negro (pega No Ganzê),Quinho,"Nos anais da nossa história
Vamos encontrar
Personagem de outrora
Que iremos recordar.
Sua vida, sua glória,
Seu passado imortal
Que beleza
A nobreza do tempo colonial.
Ô-lê-lê, ô-lá-lá,
Pega no ganzê,
Pega no ganzá.
Hoje tema festa na aldeia,
Quem quiser pode chegar,
Tem reisado a noite inteira
E fogueira pra queimar.
Nosso rei veio de longe
Pra poder nos visitar,
Que beleza
A nobreza que visita o gongá.
Ô-lê-lê, ô-lá-lá,
Pega no ganzê,
Pega no ganzá.
Senhora dona-de-casa,
Traz seu filho pra cantar
Para o rei que vem de longe
Pra poder nos visitar.
Essa noite ninguém chora,
E ninguém pode chorar
Que beleza
A nobreza que visita o gongá.
Ô-lê-lê, ô-lá-lá,
Pega no ganzê,
Pega no ganzá"
1968,(Sittin' On) The Dock Of The Bay,Otis Redding,"Sittin in the morning sun,
I`ll be sittin' when the evening come,
Watching the ships roll in,
And I'll watch 'em roll away again, yeah,
I'm sittin' on the dock of the bay,
Watching the tide roll away, ouh,
I'm just sittin' on the dock of the bay,
Wasting time.
I left my home in Georgia,
Headed for the Frisco bay
I have nothing to live for,
Look like nothings gonna come my way,
So I'm just go sit on the dock of the bay
Watching the tide roll away,
I'm sittin' on the dock of the bay,
Wasting time
Look like nothings gonna change,
Everything still remain the same,
I can't do what ten people tell me to do,
So I guess I'll remain the same, yes,
Sittin' here resting my bones,
And this loneliness won't leave me alone, yes,
Two thousand miles I roam
Just to make this dock my home
Now I'm just go sit at the dock of the bay
Watching the tide roll away, ooh
Sittin' on the dock of the bay
Wasting time"
1997,Alone,Alan Walker,"Lost in your mind
I wanna know
Am I losing my mind?
Never let me go
If this night is not forever
At least we are together
I know I'm not alone
I know I'm not alone
Anywhere whenever
Apart but still together
I know I'm not alone
I know I'm not alone
I know I'm not alone
I know I'm not alone
Unconscious mind
I'm wide awake
Wanna feel one last time
Take my pain away
If this night is not forever
At least we are together
I know I'm not alone
I know I'm not alone
Anywhere whenever
Apart but still together
I know I'm not alone
I know I'm not alone
I know I'm not alone
I know I'm not alone
I'm not alone, I'm not alone
I'm not alone, I know I'm not alone
I'm not alone, I'm not alone
I'm not alone, I know I'm not alone"
1975,My Eyes Adored You,Frankie Valli,"My eyes adored you
Though I never laid a hand on you,
My eyes adored you
Like a million miles away from me you couldn't see
How I adored you:
So close, so close and yet so far away
Carried your books from school,
Playing make-believe you're married to me:
You were fifth grade, I was sixth
When we came to be
Walking home every day over Barnegat Bridge and Bay,
Till we grew into the me and you
Who went our separate ways
My eyes adored you
Though I never laid a hand on you,
My eyes adored you
Like a million miles away from me you couldn't see
How I adored you:
So close, so close and yet so far
Headed for city lights,
Climbed the ladder up to fortune and fame,
I worked my fingers to the bone,
Made myself a name.
Funny, I seem to find that, no matter how the years unwind,
Still I reminisce about the girI miss
And the love I left behind...
My eyes adored you
Though I never laid a hand on you,
My eyes adored you
Like a million miles away from me you couldn't see
How I adored you:
So close, so close and yet so far
All my life I will remember how warm and tender
We were way back then
Though I'm feeling sad regrets I know I won't ever forget
You, my childhood friend
My eyes adored you
Though I never laid a hand on you,
My eyes adored you
Like a million miles away from me you couldn't see
How I adored you:
So close, so close and yet so far"
2008,Low (feat. T-Pain),Flo Rida,"Hmm-mmm-mmm-mmm-mmm-mmm
Let me talk to 'em, let me talk to 'em
Let it ring
Hmm-mmm-mmm-mmm-mmm-mmm
Let me talk to 'em (Come on)
Shawty had them Apple Bottom jeans (Jeans), boots with the fur (With the fur)
The whole club was lookin' at her
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low
Them baggy sweatpants and the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy!)
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low
Hey, I ain't never seen nothin' that'll make me go
This crazy all night spendin' my dough
Had a million dollar vibe and a bottle to go
Them birthday cakes they stole the show
So sexual, she was flexible
Professional, drinkin' X and O
Hold up, wait a minute, do I see what I think I, whoa
Did I think I see shawty get low?
Ain't the same when it's up that close
Make it rain, I'm makin' it snow
Work the pole, I got the bank roll
I'ma say that I prefer them no clothes
I'm into that, I love women exposed
She threw it back at me, I gave her mo'
Cash ain't no problem, I know where it goes
She had them
Apple Bottom jeans (Jeans), boots with the fur (With the fur)
The whole club was lookin' at her
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low
Them baggy sweatpants and the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy!)
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low
Hey, shawty, what I gotta do to get you home?
My jeans full of guap and they ready for shones
Cadillacs, Maybachs for the sexy groan
Patron on the rocks that'll make you moan
One stack c'mon, two stacks c'mon
Three stacks c'mon, now that's three grand
What, you think I'm playin', baby girl?
I'm the man, I invented rubber bands
That's what I told her, her legs on my shoulder
I knew it was over, that Henny and Cola
Got me like a soldier, she ready for Rover
I couldn't control her
So lucky oh me, I was just like a clover
Shawty was hot like a toaster
Sorry but I had to fold her
Like a pornography poster, she showed her
Apple Bottom jeans (Jeans), boots with the fur (With the fur)
The whole club was lookin' at her
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low
Them baggy sweatpants and the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy!)
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low
Whoa, shawty
Yeah, she was worth the money
Lil' mama took my cash and I ain't want it back
The way she bent that back, got her them paper stacks
Tattoo above her crack, I had to handle that
I was on it, sexy woman
Let me showin' and made me want it
Two in the mornin', I'm zonin' and them Ros bottles foamin'
She wouldn't stop, made it drop
Shawty did that pop and lock
Had to break her off that guap
Gal was fly just like my Glock
Apple Bottom jeans (Jeans), boots with the fur (With the fur)
The whole club was lookin' at her
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low
Them baggy sweatpants and the Reeboks with the straps (With the straps)
She turned around and gave that big booty a smack (Ayy!)
She hit the flo' (She hit the flo'), next thing you know
Shawty got low-low-low-low-low-low-low-low (Come on)"
1989,I Will Always Love You,Whitney Houston,"If I should stay
I would only be in your way
So I will go, but I know
I'll think of you every step of the way
And I will always love you
I will always love you
You, my darling, you
Bittersweet memories
That is all I'm taking with me
So goodbye, please, don't cry
We both know I'm not what you, you need
And I will always love you
I will always love you, oh
I hope life treats you kind
And I hope you'll have all you've dreamed of
And I wished you joy and happiness
But above all this, I wish you love
And I will always love you
I will always love you
I will always love you
I will always love you
I will always love you
I, I will always love you, you
Darling, I love you
I'll always, I'll always love you"
1958,Castigo,Dolores Duran,"A gente briga, diz tanta coisa que não quer dizer
Briga pensando que não vai sofrer
Que não faz mal se tudo terminar
Um belo dia a gente entende que ficou sozinha
Vem a vontade de chorar baixinho
Vem o desejo triste de voltar
Você se lembra, foi isso mesmo que se deu comigo
Eu tive orgulho e tenho por castigo
A vida inteira pra me arrepender
Se eu soubesse
Naquele dia o que sei agora
Eu não seria esse ser que chora
Eu não teria perdido você
Se eu soubesse
Naquele dia o que sei agora
Eu não seria essa mulher que chora
Eu não teria perdido você"
1978,You And I,Scorpions,"I lose control because of you babe
I lose control when you look at me like this
There's something in your eyes that is saying tonight
I'm not a child anymore, love has opened the door
To a new exciting life
I lose control when I'm close to you babe
I lose control, don't look at me like this
There's something in your eyes, is this love at first sight
Like a flower that grows, life just wants you to know
All the secrets of life
It's all written down in your lifelines
It's written down inside your heart
You and I just have a dream
To find our love a place
Where we can hide away
You and I, we're just made
To love each other now
Forever and a day
I lose control because of you babe
I lose control don't look at me like this
There's something in your eyes that is saying tonight
I'm so curious for more just like never before
In my innocent life
It's all written down in your lifelines
It's written down inside your heart
You and I just have a dream
To find our love a place, where we can hide away
You and I, we're just made
To love each other now, forever and a day
Time stands still, when the days of innocence
Are falling for the night
I love you girl, I always will
I swear I'm there for you
Till the day I die, yeah
You and I just have a dream
To find our love a place, where we can hide away
You and I, were just made
To love each other now, forever and a day
You and I just have a dream
To find our love a place, where we can hide away
You and I, were just made
To love each other now, forever and a day
You and I
You and I"
1984,Jump,Van Halen,"I get up
And nothin' gets me down
You got it tough
I've seen the toughest around
And I know
Baby, just how you feel
You got to roll with the punches
And get to what's real
Can't you see me standin' here?
I got my back against the record machine
I ain't the worst that you've seen
Can't you see what I mean?
Might as well jump (jump)
Might as well jump
Go ahead and jump (jump)
Go ahead and jump
Hey! You, who said that?
Baby, how you've been?
You say you don't know
You won't know until you begin
Can't you see me standing here?
I got my back against the record machine
I ain't the worst that you've seen
Can't you see what I mean?
Might as well jump (jump)
Go ahead and jump
Might as well jump (jump)
Go ahead and jump
Might as well jump (jump)
Go ahead and jump
Might as well jump (jump)
Go ahead and jump
Jump
Jump
Jump
Jump"
1979,Cuba,Caroço e Azeitona,"O Brasil vai lançar um foguete
Cuba também vai lançar
Quero ver se Cuba lança
Quero ver Cuba lançar
Cuba também vai lançar
Quero ver se Cuba lança
Quero ver Cuba lançar
Vai, vem, vai, vai, vem princesa
Vai, vem, vai, vai, vem
O Brasil vai lançar um foguete
Cuba também vai lançar
Quero ver se Cuba lança
Quero ver Cuba lançar"
1965,The House Of The Rising Sun,The Animals,"There is a house in New Orleans
They call the Rising Sun
And it's been the ruin of many a poor boy
And God, I know I'm one
My mother was a tailor
She sewed my new blue jeans
My father was a gamblin' man
Down in New Orleans
Now the only thing a gambler needs
Is a suitcase and a trunk
And the only time he'll be satisfied
Is when he's all drunk
Oh, mother, tell your children
Not to do what I have done
Spend your lives in sin and misery
In the House of the Rising Sun
Well, I got one foot on the platform
The other foot on the train
I'm goin' back to New Orleans
To wear that ball and chain
Well, there is a house in New Orleans
They call the Rising Sun
And it's been the ruin of many a poor boy
And God, I know I'm one"
2007,Say Goodbye,Chris Brown,"Ah, look, we gotta talk
Dang, I know, I know but it's, it's just, it's just
Some things I gotta get off my chest, aight
Yeah, woah, woah-woah
Listen
Baby, come here and sit down, let's talk
I got a lot to say so I guess I'll start by
Saying that I love you
But you know, this thing ain't been
No walk in the park for us
I swear it'll only take a minute
You'll understand when I finish, yeah
And I don't wanna see you cry
But I don't wanna be the one to tell you a lie so
How do you let it go?
When you, you just don't know?
What's on the other side of the door
When you're walking out?
Talk about it
And everything I tried to remember to say
Just went out my head
So I'ma do the best I can to get you to understand
'Cause, I know
There's never a right time to say goodbye (yeah)
But I gotta make the first move
'Cause if I don't, you gonna start hating me
'Cause I really don't feel the way I once felt about you
Girl, it's not you, it's me
I kinda gotta figure out what I need, oh
There's never a right time to say goodbye
But we know that we gotta go our separate ways
And I know it's hard, but I gotta do it
And it's killing me
'Cause there's never a right time
Right time to say goodbye
Girl, I know your heart is breaking
And a thousand times I found myself asking, why? Why?
Why am I taking so long to say this?
But trust me, girl, I never
Meant to crush your world and I never
Thought I would see the day we grew apart
And I wanna know
How do you let it go?
When you, you just don't know?
What's on the other side of the door
When you're walking out?
Talk about it
Girl, I hope you understand
What I'm tryna say
We just can't go on
Pretending that we get along
Girl, how you not gonna see it? (Oh, oh, yeah)
There's never a right time to say goodbye
But I gotta make the first move
'Cause if I don't, you gonna start hating me
'Cause I really don't feel the way I once felt about you
Girl, it's not you, it's me
I kinda gotta figure out what I need, oh
There's never a right time to say goodbye
But we know that we gotta go our separate ways
And I know it's hard, but I gotta do it
And it's killing me
'Cause there's never a right time
Right time to say goodbye
Listen to your heart
Girl, you know
We should be apart, baby, I
I just can't do it
I, I just can't do it
Listen to your heart
Girl, you know
We should be apart, baby, I
I just can't do it
And sometimes it makes me wanna cry
Ooh, ooh, ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, ooh, ooh, ooh
Do you hear me crying?
Ooh, ooh, ooh, ooh, ooh, ooh, ooh (oh, oh)
Ooh, ooh, ooh, ooh
There's never a right
There's never a right time to say goodbye (oh, yeah)
But I gotta make the first move
'Cause if I don't, you gonna start hating me (you gonna start hating me, baby)
'Cause I really don't feel the way I once felt about you (no more)
Girl, it's not you, it's me (it's me, yeah)
I kinda gotta figure out what I need, oh (about you and me)
There's never a right time to say goodbye (oh, no, it ain't)
But we know that we gotta go our separate ways (yeah, yeah, yeah)
And I know it's hard, but I gotta do it
And it's killing me
'Cause there's never a right time
Right time to say goodbye (right time)"
1984,Você Em Minha Vida,Gian e Giovani,"Quando você chegou em minha vida
Tudo era diferente
Não falava em despedida
E me amava loucamente
Hoje porém tristemente vejo
O nosso amor se desfazendo
Em cada abraço em cada beijo
Eu sinto que estou lhe perdendo
O que foi que aconteceu?
Por que me tratar assim?
Não me diga que é o adeus
Eu não quero nosso fim
Não se entrega a ilusão
Que domina os seus passos
Ouça a voz do coração
E sufoque essa paixão
No aconchego dos meus braços
Hoje porém tristemente vejo
O nosso amor se desfazendo
Em cada abraço em cada beijo
Eu sinto que estou lhe perdendo
O que foi que aconteceu?
Por que me tratar assim?
Não me diga que é o adeus
Eu não quero o nosso fim
Não se entrega a ilusão
Que domina os seus passos
Ouça a voz do coração
E sufoque essa paixão
No aconchego dos meus braços"
1973,Sing,Travis,"Baby, you've been going so crazy
Lately, nothing seems to be going right
Solo, why do you have to get so low
You're so? You've been waiting in the Sun too long
But if you sing, sing
Sing, sing, sing, sing
For the love you bring won't mean a thing
Unless you sing, sing, sing, sing
Colder, crying over your shoulder
Hold her, and tell her everythings gonna be fine
Surely, you've been going too early
Hurry, cause no one's gonna be stopped
But if you sing, sing
Sing, sing, sing, sing
For the love you bring won't mean a thing
Unless you sing, sing, sing, sing
Baby, there's something going on today
But I say nothing, nothing, nothing
Nothing, nothing
Cause no one's gonna be stopped"
2004,Não Se Sinta Só,Os Travessos,"Eu não sei porque a vida é assim
São tantos procurando um outro alguém
Pra poder continuar seja lá aonde for
Ei, você que tá sofrendo como eu
Que tá passando pelo que eu passei
Não se sinta assim tão só
Hoje eu canto pra você
Ah, você que tem vontade de parar
Parar o tempo e pedir para voltar
E reviver aquele grande amor
Eu, também queria ver ela voltar
Também queria ver a gente se acertar
A velha história entre nós dois
Não se sinta só, você vive como eu
Não se sinta só, você ama como eu
Não se sinta só, não se sinta assim"
1995,Festa de Rodeio,Leandro & Leonardo,"Em festa de rodeio não dá pra ficar parado
Tem cowboy e boiadeiro e mulher pra todo lado
Em festa de rodeio, coração atravessado
Eu sou um peão no meio desse povo apaixonado
Ei, ei, ei, companheiro
Quem quiser ser o primeiro
Tem que ter o braço forte
Ei, ei, ei, companheiro
Tem que ser bom violeiro
E também contar com a sorte
Quem sabe até ganhar um beijo doce
Da rainha do rodeio
Em festa de rodeio não dá pra ficar parado
Tem cowboy e boiadeiro e mulher pra todo lado
Em festa de rodeio, coração atravessado
Eu sou um peão no meio desse povo apaixonado
Ei, ei, ei, companheiro
Quem quiser ser o primeiro
Tem que ter o braço forte
Ei, ei, ei, companheiro
Tem que ser bom violeiro
E também contar com a sorte
Quem sabe até ganhar um beijo doce
Da rainha do rodeio
Em festa de rodeio não dá pra ficar parado
Tem cowboy e boiadeiro e mulher pra todo lado
Em festa de rodeio, coração atravessado
Eu sou um peão no meio desse povo apaixonado
Em festa de rodeio não dá pra ficar parado
Tem cowboy e boiadeiro e mulher pra todo lado"
2013,Não Fui Eu,Paula Fernandes,"Ei, escuta, para de agir feito criança
Escuta, sinto em te dizer, mas foi você quem procurou
Quem partiu um coração, não fui eu
Ei, escuta, tudo nessa vida tem seu preço
Escuta, se chegou a hora de colher o que plantou
Você mesmo quem regou, não fui eu
Não fui eu
Eu sei o que dirá
Vai me culpar
Por um erro seu
Se alguém me perguntar
Irei dizer que não fui eu
Não fui eu
Ei, escuta, para de agir feito criança
Escuta, sinto em te dizer, mas foi você quem procurou
Quem partiu um coração, não fui eu
Ei, escuta, tudo nessa vida tem seu preço
Escuta, se chegou a hora de colher o que plantou
Você mesmo quem regou, não fui eu
Não fui eu
Eu sei o que dirá
Vai me culpar
Por um erro seu
Se alguém me perguntar
Irei dizer que não fui eu
Não fui eu
Não fui eu quem desistiu dos nossos sonhos
Não fui eu quem destruiu nossa esperança
Não fui eu quem fez meus olhos mergulhados por mentiras
Vai dizer que era isso que eu queria
Eu sei o que dirá
Vai me culpar
Por um erro seu
Eu sei o que dirá
Vai me culpar
Por um erro seu
Se alguém me perguntar
Irei dizer que não fui eu
Eu sei o que dirá
Vai me culpar
Por um erro seu
Se alguém me perguntar
Irei dizer que não fui eu
Não fui eu
Não fui eu
Não fui eu
Não fui eu
Não fui eu
Não fui eu
Não fui eu"
1985,Verde,Oswaldo Montenegro,"Verde, verde, folha desabada
Doida cor sem ter qualquer razão de ser
Mágica das coisas, das verdes coisas
Dos olhos verdes de quem vê
Hortelã dos chás, dos beijos verdes
Doida flor sem ter qualquer razão de ser
Lógica das coisas, das novas coisas
Dos olhos verdes de quem vê
Doce maçã da saúde e água
Doido amor sem ter qualquer razão de ser
Ávida das moças, das novas moças
Dos olhos verdes de quem vê
Como rã saltando é folha verde
Doido acordo tem qualquer razão de ser
Plástica dos olhos, dos verdes olhos
Dos olhos verdes de quem vê"
2011,Tchubirabiron,Parangolé,"Olha pra frente, pra frente
Cintura, cabeça, tchubirabiron
Eu disse, dancinha legal, todo mundo vai fazer
Nesse carnaval, eu sei que vai ferver
Você quer, tome aí swingueira pra mexer
Pega na cabeça e vai
Pra frente, pra frente
Cintura, cabeça, tchubirabiron
Olha pra frente, pra frente
Cintura, cabeça, tchubirabiron
Eu sei que você quer
Sei que você tá querendo
Pega na cabeça e vai
Pra frente, pra frente
Cintura, cabeça, tchubirabiron
Olha pra frente, pra frente
Cintura, cabeça, tchubirabiron
Para o swingue para galera parango
Olha pra frente, pra frente
Cintura, cabeça, tchubirabiron
Eu sei que você quer
Sei que você tá querendo
Pega na cabeça e vai
Pra frente, pra frente
Cintura, cabeça, tchubirabiron
Tchubirabiron"
1968,Perdoa-me,Comunidade Católica Shalom,"Senhor, que Te deixaste ferir
Do Teu sangue vem a Paz!
Aqui estou, perdoa-me!
Kyrie eleison
Kyrie eleison
Kyrie eleison, oh
Oh, Cristo, elevado na cruz
És Amigo do pecador!
Aqui estou, perdoa-me!
Christe eleison
Christe eleison
Christe eleison, oh
Senhor, da morte, vencedor
Verdadeiro filho de Deus!
Aqui estou, perdoa-me!
Kyrie eleison
Kyrie eleison
Kyrie eleison, oh"
1968,The Fool On The Hill,The Beatles,"Day after day, alone on a hill
The man with the foolish grin is keeping perfectly still
But nobody wants to know him
They can see that he's just a fool
And he never gives an answer
But the fool on the hill
Sees the Sun going down
And the eyes in his head
See the world spinning around
Well on the way
Head in a cloud
The man of a thousand voices talking perfectly loud
But nobody ever hears him or the sound he appears to make
And he never seems to notice
But the fool on the hill
Sees the Sun going down
And the eyes in his head
See the world spinning around
And nobody seems to like him
They can tell what he wants to do
And he never shows his feelings
But the fool on the hill
Sees the Sun going down
And the eyes in his head
See the world spinning around
Oh
Round and round and round and round and round
He never listens to them
He knows that they're the fools
They don't like him
The fool on the hill
Sees the Sun going down
And the eyes in his head
See the world spinning around
Oh (round and round and round)
Oh"
1993,Genêse,RPM,"Perto do fim do mundo
Todo final, no fundo,
Parece recomeçar
Parece retomar, parece refazer
Parece prece e prazer
Parece o fim do mundo
Não é o fim do mundo
Não é ainda não
Parece o paraíso, parece o apocalipse
Gênese e ressureição
Perto do fim do mundo, todo segundo é tudo
Toda segunda é igual e tudo é sinal dos tempos
Todo final dos tempos
Parece ser sempre igual
Baby, menina ainda é cedo
Ainda há tempo pra nós dois
Nunca se sabe onde o que nos espera depois
Não pretendo esperar, não entendo o que há
O que acontece com essa gente devagar
Não espero chegar eu não quero passar
Pela vida como quem tem que se desculpar
Perto do fim do mundo, acho que todo mundo
Já acredita no fim. E acham que vão pro céu
Pensam que sabe, merecem um pedaço do céu
Parece o fim do mundo
Não é o fim do mundo, não é ainda não
Parece o paraíso, parece o apocalipse
Gênese e ressureição
Se eu não pretendo esperar, não entendo o que há
O que acontece com essa gente devagar
Não espero chegar eu não quero passar
Pela vida como quem tem que se desculpar
Não pretendo esperar, não entendo o que há
O que acontece com essa gente devagar
Não espero chegar eu não quero passar
Pela vida como quem tem que se desculpar."
1977,Zodiacs,Roberta Kelly,"Oh, Capricorns, Leos, Sagittarians
Scorpios, Virgos, Aquarians
Oh, searchin´ for the sign that goes with their own sign of the zodiac
[Zodiac]
Oh, Geminis, Librans, Taurians
Pisceans, Ariens, Cancerians
They´re searchin´ for the sign that goes with their own sign of the
zodiac [Zodiac]
Of the zodiac [Zodiac]
Of the zodiac [Zodiac]
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Mercury, Mars, Jupiter and Venus
Pluto, Saturn, Neptune, Uranus
Power from the planets of their own side of the zodiac [Zodiac]
Of the zodiac [Zodiac]
Of the zodiac [Zodiac]
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
[Zodiacs]
[Zodiacs]
[Zodiacs]
[Zodiacs]
[Zodiacs]
[Zodiacs]
We´re all born under the sun [Under the sun]
Affected by the pull of the moon
Regis and the born of the end
It´s the zodiac, zodiac fate
Oh, Capricorns, Leos, Sagittarians
Scorpios, Virgos, Aquarians
Oh, searchin´ for the sign that goes with their own sign of the zodiac
[Zodiac]
Oh, Geminis, Librans, Taurians
Pisceans, Ariens, Cancerians
They´re searchin´ for the sign that goes with their own sign of the
zodiac [Zodiac]
Of the zodiac [Zodiac]
Of the zodiac [Zodiac]
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo
Capricorns
Leos
Saggitarians
Scorpios [Scorpios]
Virgos [Virgos]
Aquarians [Aquarians]
Geminis [Geminis, Geminis]
Librans [Librans, Librans]
Taurians [Taurians, Taurians]
Pisceans [Pisceans, Pisceans]
Arians [Arians, Arians, Arians]
Cancerians [Cancerians, Cancerians]
Zodiac
Zodiac
Zodiac
Zodiac
Zodiac"
1994,Você Vai Ver,Zezé Di Camargo & Luciano,"Você pode encontrar muitos amores
Mas ninguém vai te dar o que eu te dei
Podem até te dar algum prazer
Mas posso até jurar, você vai ver
Que ninguém vai te amar como eu te amei
Você pode provar milhões de beijos
Mas sei que você vai lembrar de mim
Pois sempre que um outro te tocar
Na hora você pode se entregar
Mas não vai me esquecer nem mesmo assim
Eu vou ficar guardado no seu coração
Na noite fria, solidão
Saudade vai chamar meu nome
(Meu nome)
Eu vou ficar num verso triste de paixão
Em cada sonho de verão
No toque do seu telefone
Você vai ver!
Você pode provar milhões de beijos
Mas sei que você vai lembrar de mim
Pois sempre que um outro te tocar
Na hora você pode se entregar
Mas não vai me esquecer nem mesmo assim
Eu vou ficar guardado no seu coração
Na noite fria, solidão
Saudade vai chamar meu nome
(Meu nome)
Eu vou ficar num verso triste de paixão
Em cada sonho de verão
No toque do seu telefone
Eu vou ficar guardado no seu coração
Na noite fria, solidão
Saudade vai chamar meu nome
(Meu nome)
Eu vou ficar num verso triste de paixão
Em cada sonho de verão
No toque do seu telefone
Você vai ver!"
1971,Joy To The World,Mariah Carey,"Joy to the world
The Lord is come
Let Earth receive her King
Let every heart prepare Him room
And heaven and nature sing
And heaven and nature sing
And heaven, and heaven and nature sing
Joy to the world
The Lord is come
Let Earth receive her King
Let every heart prepare Him room
And heaven and nature sing
And heaven and nature sing
And heaven, and heaven and nature sing
Joy to the earth
The Savior reigns
Let men their songs employ
While fields and floods
Rocks, hills, and plains
Repeat the sounding joy
Repeat the sounding joy
Repeat, repeat the sounding joy
Joy to the world
All the boys and girls
Joy to the people everywhere you see
Joy to you and me
Joy to the world
All the boys and girls
Joy to the people everywhere you see
Joy to you and me
He rules the world (yeah)
With truth and grace
And makes the nations prove
The glories of His righteousness
And wonders of His love
And wonders of His love
And wonders, wonders of His love
Joy to the world
All the boys and girls
Joy to the people everywhere you see
Joy to you and me
Joy to the people everywhere you see
Joy to you and me
Feel that joy (feel that joy)
Feel that joy (feel that joy)
Feel that joy (feel that joy)
Feel that joy (feel, feel, feel it)
Feel that joy (ooh, feel it)
Feel that joy (feel that joy)"
